knot_id_base,reproduced_t_standard,reproduced_t_inverse,jones_khovanov_same_representative,orientation_ambiguous
10_023,False,True,False,False
10_024,True,False,True,False
10_025,True,False,True,False
10_026,True,False,True,False
10_027,False,True,False,False
10_028,False,True,False,False
10_029,True,False,True,False
10_030,True,False,True,False
10_031,False,True,False,False
10_032,True,False,True,False
10_033,True,True,True,True
10_034,False,True,False,False
10_035,False,True,False,False
10_036,True,False,True,False
10_037,True,True,True,True
10_038,True,False,True,False
10_039,True,False,True,False
10_040,False,True,False,False
10_041,True,False,True,False
10_042,False,True,False,False
10_043,True,True,True,True
10_044,True,False,True,False
10_045,True,True,True,True
10_046,True,False,True,False
10_047,False,True,False,False
10_048,True,True,True,True
10_049,True,False,True,False
10_050,True,False,True,False
10_051,False,True,False,False
10_052,True,False,True,False
10_053,True,False,True,False
10_054,False,True,False,False
10_055,True,False,True,False
10_056,True,False,True,False
10_057,False,True,False,False
10_058,True,False,True,False
10_059,True,False,True,False
10_060,False,True,False,False
10_061,True,False,True,False
10_062,False,True,False,False
10_063,True,False,True,False
10_064,True,False,True,False
10_065,False,True,False,False
10_066,True,False,True,False
10_067,True,False,True,False
10_068,False,True,False,False
10_069,False,True,False,False
10_070,False,True,False,False
10_071,True,True,True,True
10_072,True,False,True,False
10_073,False,True,False,False
10_074,True,False,True,False
10_075,False,True,False,False
10_076,True,False,True,False
10_077,False,True,False,False
10_078,True,False,True,False
10_079,True,True,True,True
10_080,True,False,True,False
10_081,True,True,True,True
10_082,True,False,True,False
10_083,True,False,True,False
10_084,True,False,True,False
10_085,False,True,False,False
10_086,False,True,False,False
10_087,True,False,True,False
10_088,True,True,True,True
10_089,False,True,False,False
10_090,True,False,True,False
10_091,True,True,True,True
10_092,True,False,True,False
10_093,False,True,False,False
10_094,True,False,True,False
10_095,False,True,False,False
10_096,False,True,False,False
10_097,True,False,True,False
10_098,True,False,True,False
10_099,True,True,True,True
10_100,False,True,False,False
10_101,True,False,True,False
10_102,True,False,True,False
10_103,False,True,False,False
10_104,True,True,True,True
10_105,True,False,True,False
10_106,True,False,True,False
10_107,False,True,False,False
10_108,True,False,True,False
10_109,True,True,True,True
10_110,True,False,True,False
10_111,True,False,True,False
10_112,False,True,False,False
10_113,True,False,True,False
10_114,False,True,False,False
10_115,True,True,True,True
10_116,False,True,False,False
10_117,False,True,False,False
10_118,True,True,True,True
10_119,False,True,False,False
10_120,True,False,True,False
10_121,True,False,True,False
10_122,False,True,False,False
10_123,True,True,True,True
10_124,True,False,True,False
10_125,True,True,True,True
10_126,False,True,False,False
10_127,True,False,True,False
10_128,True,False,True,False
10_129,True,False,True,False
10_130,False,True,False,False
10_131,True,False,True,False
10_132,False,True,False,False
10_133,True,False,True,False
10_134,True,False,True,False
10_135,True,False,True,False
10_136,False,True,False,False
10_137,True,False,True,False
10_138,True,False,True,False
10_139,True,False,True,False
10_140,True,False,True,False
10_141,True,False,True,False
10_142,True,False,True,False
10_143,False,True,False,False
10_144,True,False,True,False
10_145,False,True,False,False
10_146,False,True,False,False
10_147,True,False,True,False
10_148,False,True,False,False
10_149,True,False,True,False
10_150,True,False,True,False
10_151,False,True,False,False
10_152,True,False,True,False
10_153,False,True,False,False
10_154,True,False,True,False
10_155,False,True,False,False
10_156,False,True,False,False
10_157,False,True,False,False
10_158,True,False,True,False
10_159,True,False,True,False
10_160,True,False,True,False
10_161,True,False,True,False
10_162,False,True,False,False
10_163,True,False,True,False
10_164,False,True,False,False
10_165,False,True,False,False
11a001,True,False,True,False
11a002,True,False,True,False
11a003,False,True,False,False
11a004,False,True,False,False
11a005,False,True,False,False
11a006,True,False,True,False
11a007,False,True,False,False
11a008,False,True,False,False
11a009,True,False,True,False
11a010,True,False,True,False
11a011,True,False,True,False
11a012,True,False,True,False
11a013,True,False,True,False
11a014,True,False,True,False
11a015,False,True,False,False
11a016,False,True,False,False
11a017,True,False,True,False
11a018,True,False,True,False
11a019,True,False,True,False
11a020,True,False,True,False
11a021,True,False,True,False
11a022,True,False,True,False
11a023,True,False,True,False
11a024,True,False,True,False
11a025,True,False,True,False
11a026,True,False,True,False
11a027,False,True,False,False
11a028,False,True,False,False
11a029,False,True,False,False
11a030,True,False,True,False
11a031,True,False,True,False
11a032,True,False,True,False
11a033,False,True,False,False
11a034,True,False,True,False
11a035,True,False,True,False
11a036,False,True,False,False
11a037,True,False,True,False
11a038,False,True,False,False
11a039,True,False,True,False
11a040,True,False,True,False
11a041,True,False,True,False
11a042,True,False,True,False
11a043,True,False,True,False
11a044,True,False,True,False
11a045,True,False,True,False
11a046,True,False,True,False
11a047,True,False,True,False
11a048,False,True,False,False
11a049,True,False,True,False
11a050,True,False,True,False
11a051,False,True,False,False
11a052,True,False,True,False
11a053,False,True,False,False
11a054,False,True,False,False
11a055,False,True,False,False
11a056,False,True,False,False
11a057,False,True,False,False
11a058,False,True,False,False
11a059,True,False,True,False
11a060,True,False,True,False
11a061,True,False,True,False
11a062,False,True,False,False
11a063,False,True,False,False
11a064,False,True,False,False
11a065,False,True,False,False
11a066,False,True,False,False
11a067,False,True,False,False
11a068,True,False,True,False
11a069,True,False,True,False
11a070,True,False,True,False
11a071,True,False,True,False
11a072,True,False,True,False
11a073,False,True,False,False
11a074,True,False,True,False
11a075,True,False,True,False
11a076,False,True,False,False
11a077,False,True,False,False
11a078,True,False,True,False
11a079,False,True,False,False
11a080,False,True,False,False
11a081,True,False,True,False
11a082,False,True,False,False
11a083,True,False,True,False
11a084,False,True,False,False
11a085,True,False,True,False
11a086,True,False,True,False
11a087,True,False,True,False
11a088,False,True,False,False
11a089,True,False,True,False
11a090,False,True,False,False
11a091,True,False,True,False
11a092,False,True,False,False
11a093,False,True,False,False
11a094,True,False,True,False
11a095,True,False,True,False
11a096,False,True,False,False
11a097,True,False,True,False
11a098,False,True,False,False
11a099,True,False,True,False
11a100,True,False,True,False
11a101,True,False,True,False
11a102,True,False,True,False
11a103,True,False,True,False
11a104,True,False,True,False
11a105,True,False,True,False
11a106,True,False,True,False
11a107,True,False,True,False
11a108,False,True,False,False
11a109,True,False,True,False
11a110,False,True,False,False
11a111,True,False,True,False
11a112,False,True,False,False
11a113,False,True,False,False
11a114,True,False,True,False
11a115,True,False,True,False
11a116,True,False,True,False
11a117,True,False,True,False
11a118,True,False,True,False
11a119,True,False,True,False
11a120,False,True,False,False
11a121,False,True,False,False
11a122,False,True,False,False
11a123,True,False,True,False
11a124,True,False,True,False
11a125,True,False,True,False
11a126,True,False,True,False
11a127,True,False,True,False
11a128,False,True,False,False
11a129,False,True,False,False
11a130,False,True,False,False
11a131,False,True,False,False
11a132,True,False,True,False
11a133,True,False,True,False
11a134,True,False,True,False
11a135,True,False,True,False
11a136,False,True,False,False
11a137,False,True,False,False
11a138,True,False,True,False
11a139,True,False,True,False
11a140,True,False,True,False
11a141,False,True,False,False
11a142,False,True,False,False
11a143,False,True,False,False
11a144,False,True,False,False
11a145,False,True,False,False
11a146,False,True,False,False
11a147,True,False,True,False
11a148,True,False,True,False
11a149,True,False,True,False
11a150,False,True,False,False
11a151,False,True,False,False
11a152,False,True,False,False
11a153,True,False,True,False
11a154,True,False,True,False
11a155,False,True,False,False
11a156,False,True,False,False
11a157,False,True,False,False
11a158,False,True,False,False
11a159,True,False,True,False
11a160,True,False,True,False
11a161,False,True,False,False
11a162,False,True,False,False
11a163,True,False,True,False
11a164,False,True,False,False
11a165,True,False,True,False
11a166,True,False,True,False
11a167,True,False,True,False
11a168,True,False,True,False
11a169,False,True,False,False
11a170,True,False,True,False
11a171,True,False,True,False
11a172,True,False,True,False
11a173,True,False,True,False
11a174,False,True,False,False
11a175,True,False,True,False
11a176,True,False,True,False
11a177,True,False,True,False
11a178,True,False,True,False
11a179,True,False,True,False
11a180,False,True,False,False
11a181,True,False,True,False
11a182,False,True,False,False
11a183,False,True,False,False
11a184,False,True,False,False
11a185,False,True,False,False
11a186,True,False,True,False
11a187,False,True,False,False
11a188,True,False,True,False
11a189,False,True,False,False
11a190,True,False,True,False
11a191,True,False,True,False
11a192,True,False,True,False
11a193,False,True,False,False
11a194,False,True,False,False
11a195,False,True,False,False
11a196,False,True,False,False
11a197,True,False,True,False
11a198,True,False,True,False
11a199,False,True,False,False
11a200,True,False,True,False
11a201,False,True,False,False
11a202,True,False,True,False
11a203,True,False,True,False
11a204,True,False,True,False
11a205,False,True,False,False
11a206,False,True,False,False
11a207,False,True,False,False
11a208,False,True,False,False
11a209,False,True,False,False
11a210,False,True,False,False
11a211,False,True,False,False
11a212,True,False,True,False
11a213,True,False,True,False
11a214,True,False,True,False
11a215,True,False,True,False
11a216,True,False,True,False
11a217,False,True,False,False
11a218,False,True,False,False
11a219,False,True,False,False
11a220,True,False,True,False
11a221,False,True,False,False
11a222,False,True,False,False
11a223,True,False,True,False
11a224,True,False,True,False
11a225,False,True,False,False
11a226,False,True,False,False
11a227,True,False,True,False
11a228,False,True,False,False
11a229,True,False,True,False
11a230,True,False,True,False
11a231,False,True,False,False
11a232,False,True,False,False
11a233,True,False,True,False
11a234,True,False,True,False
11a235,True,False,True,False
11a236,True,False,True,False
11a237,True,False,True,False
11a238,True,False,True,False
11a239,True,False,True,False
11a240,True,False,True,False
11a241,True,False,True,False
11a242,True,False,True,False
11a243,True,False,True,False
11a244,True,False,True,False
11a245,True,False,True,False
11a246,True,False,True,False
11a247,True,False,True,False
11a248,False,True,False,False
11a249,False,True,False,False
11a250,True,False,True,False
11a251,False,True,False,False
11a252,True,False,True,False
11a253,False,True,False,False
11a254,True,False,True,False
11a255,False,True,False,False
11a256,False,True,False,False
11a257,False,True,False,False
11a258,True,False,True,False
11a259,True,False,True,False
11a260,True,False,True,False
11a261,False,True,False,False
11a262,False,True,False,False
11a263,True,False,True,False
11a264,True,False,True,False
11a265,True,False,True,False
11a266,False,True,False,False
11a267,False,True,False,False
11a268,True,False,True,False
11a269,True,False,True,False
11a270,True,False,True,False
11a271,True,False,True,False
11a272,True,False,True,False
11a273,False,True,False,False
11a274,False,True,False,False
11a275,True,False,True,False
11a276,True,False,True,False
11a277,True,False,True,False
11a278,True,False,True,False
11a279,True,False,True,False
11a280,False,True,False,False
11a281,True,False,True,False
11a282,False,True,False,False
11a283,False,True,False,False
11a284,True,False,True,False
11a285,False,True,False,False
11a286,True,False,True,False
11a287,False,True,False,False
11a288,True,False,True,False
11a289,True,False,True,False
11a290,False,True,False,False
11a291,True,False,True,False
11a292,True,False,True,False
11a293,False,True,False,False
11a294,False,True,False,False
11a295,False,True,False,False
11a296,False,True,False,False
11a297,False,True,False,False
11a298,True,False,True,False
11a299,True,False,True,False
11a300,False,True,False,False
11a301,False,True,False,False
11a302,False,True,False,False
11a303,True,False,True,False
11a304,True,False,True,False
11a305,False,True,False,False
11a306,False,True,False,False
11a307,False,True,False,False
11a308,True,False,True,False
11a309,True,False,True,False
11a310,True,False,True,False
11a311,True,False,True,False
11a312,False,True,False,False
11a313,False,True,False,False
11a314,True,False,True,False
11a315,True,False,True,False
11a316,True,False,True,False
11a317,False,True,False,False
11a318,True,False,True,False
11a319,True,False,True,False
11a320,True,False,True,False
11a321,False,True,False,False
11a322,False,True,False,False
11a323,False,True,False,False
11a324,False,True,False,False
11a325,False,True,False,False
11a326,True,False,True,False
11a327,True,False,True,False
11a328,True,False,True,False
11a329,True,False,True,False
11a330,False,True,False,False
11a331,False,True,False,False
11a332,True,False,True,False
11a333,False,True,False,False
11a334,True,False,True,False
11a335,True,False,True,False
11a336,True,False,True,False
11a337,True,False,True,False
11a338,True,False,True,False
11a339,True,False,True,False
11a340,True,False,True,False
11a341,True,False,True,False
11a342,True,False,True,False
11a343,True,False,True,False
11a344,True,False,True,False
11a345,True,False,True,False
11a346,True,False,True,False
11a347,True,False,True,False
11a348,True,False,True,False
11a349,True,False,True,False
11a350,True,False,True,False
11a351,True,False,True,False
11a352,True,False,True,False
11a353,True,False,True,False
11a354,True,False,True,False
11a355,True,False,True,False
11a356,True,False,True,False
11a357,True,False,True,False
11a358,True,False,True,False
11a359,True,False,True,False
11a360,True,False,True,False
11a361,True,False,True,False
11a362,True,False,True,False
11a363,True,False,True,False
11a364,True,False,True,False
11a365,True,False,True,False
11a366,True,False,True,False
11a367,True,False,True,False
11n001,False,True,False,False
11n002,True,False,True,False
11n003,False,True,False,False
11n004,True,False,True,False
11n005,True,False,True,False
11n006,False,True,False,False
11n007,True,False,True,False
11n008,False,True,False,False
11n009,True,False,True,False
11n010,False,True,False,False
11n011,True,False,True,False
11n012,True,False,True,False
11n013,True,False,True,False
11n014,False,True,False,False
11n015,True,False,True,False
11n016,True,False,True,False
11n017,False,True,False,False
11n018,True,False,True,False
11n019,True,True,True,True
11n020,False,True,False,False
11n021,True,False,True,False
11n022,True,False,True,False
11n023,True,False,True,False
11n024,True,True,True,True
11n025,True,False,True,False
11n026,True,False,True,False
11n027,True,False,True,False
11n028,True,False,True,False
11n029,True,False,True,False
11n030,True,False,True,False
11n031,True,False,True,False
11n032,True,False,True,False
11n033,True,False,True,False
11n034,False,True,False,False
11n035,True,False,True,False
11n036,True,False,True,False
11n037,False,True,False,False
11n038,True,False,True,False
11n039,True,False,True,False
11n040,True,False,True,False
11n041,True,False,True,False
11n042,False,True,False,False
11n043,True,False,True,False
11n044,True,False,True,False
11n045,True,False,True,False
11n046,True,False,True,False
11n047,True,False,True,False
11n048,False,True,False,False
11n049,False,True,False,False
11n050,False,True,False,False
11n051,True,False,True,False
11n052,True,False,True,False
11n053,False,True,False,False
11n054,True,False,True,False
11n055,True,False,True,False
11n056,True,False,True,False
11n057,True,False,True,False
11n058,False,True,False,False
11n059,True,False,True,False
11n060,True,False,True,False
11n061,True,False,True,False
11n062,True,False,True,False
11n063,True,False,True,False
11n064,True,False,True,False
11n065,False,True,False,False
11n066,True,False,True,False
11n067,True,False,True,False
11n068,True,False,True,False
11n069,True,False,True,False
11n070,True,False,True,False
11n071,True,False,True,False
11n072,True,False,True,False
11n073,True,False,True,False
11n074,True,False,True,False
11n075,False,True,False,False
11n076,False,True,False,False
11n077,True,False,True,False
11n078,True,False,True,False
11n079,True,False,True,False
11n080,False,True,False,False
11n081,True,False,True,False
11n082,True,True,True,True
11n083,False,True,False,False
11n084,False,True,False,False
11n085,True,False,True,False
11n086,True,False,True,False
11n087,False,True,False,False
11n088,True,False,True,False
11n089,False,True,False,False
11n090,True,False,True,False
11n091,False,True,False,False
11n092,False,True,False,False
11n093,True,False,True,False
11n094,True,False,True,False
11n095,True,False,True,False
11n096,True,False,True,False
11n097,True,False,True,False
11n098,False,True,False,False
11n099,False,True,False,False
11n100,True,False,True,False
11n101,False,True,False,False
11n102,False,True,False,False
11n103,False,True,False,False
11n104,True,False,True,False
11n105,True,False,True,False
11n106,False,True,False,False
11n107,True,False,True,False
11n108,False,True,False,False
11n109,False,True,False,False
11n110,True,False,True,False
11n111,True,False,True,False
11n112,True,False,True,False
11n113,False,True,False,False
11n114,True,False,True,False
11n115,False,True,False,False
11n116,False,True,False,False
11n117,True,False,True,False
11n118,True,False,True,False
11n119,False,True,False,False
11n120,True,False,True,False
11n121,False,True,False,False
11n122,False,True,False,False
11n123,False,True,False,False
11n124,True,False,True,False
11n125,True,False,True,False
11n126,True,False,True,False
11n127,False,True,False,False
11n128,True,False,True,False
11n129,False,True,False,False
11n130,False,True,False,False
11n131,False,True,False,False
11n132,False,True,False,False
11n133,True,False,True,False
11n134,False,True,False,False
11n135,True,False,True,False
11n136,True,False,True,False
11n137,False,True,False,False
11n138,True,False,True,False
11n139,True,False,True,False
11n140,False,True,False,False
11n141,False,True,False,False
11n142,False,True,False,False
11n143,True,False,True,False
11n144,True,False,True,False
11n145,True,False,True,False
11n146,True,False,True,False
11n147,True,False,True,False
11n148,True,False,True,False
11n149,True,False,True,False
11n150,True,False,True,False
11n151,True,False,True,False
11n152,True,False,True,False
11n153,False,True,False,False
11n154,True,False,True,False
11n155,True,False,True,False
11n156,True,False,True,False
11n157,False,True,False,False
11n158,True,False,True,False
11n159,False,True,False,False
11n160,True,False,True,False
11n161,True,False,True,False
11n162,True,False,True,False
11n163,True,False,True,False
11n164,True,False,True,False
11n165,True,False,True,False
11n166,True,False,True,False
11n167,True,False,True,False
11n168,True,False,True,False
11n169,True,False,True,False
11n170,False,True,False,False
11n171,True,False,True,False
11n172,False,True,False,False
11n173,True,False,True,False
11n174,True,False,True,False
11n175,True,False,True,False
11n176,False,True,False,False
11n177,True,False,True,False
11n178,True,False,True,False
11n179,True,False,True,False
11n180,True,False,True,False
11n181,True,False,True,False
11n182,True,False,True,False
11n183,True,False,True,False
11n184,True,False,True,False
11n185,True,False,True,False
12a0001,False,True,False,False
12a0002,True,False,True,False
12a0003,True,False,True,False
12a0004,True,True,True,True
12a0005,True,False,True,False
12a0006,True,False,True,False
12a0007,False,True,False,False
12a0008,True,False,True,False
12a0009,True,False,True,False
12a0010,True,False,True,False
12a0011,False,True,False,False
12a0012,False,True,False,False
12a0013,False,True,False,False
12a0014,False,True,False,False
12a0015,False,True,False,False
12a0016,True,False,True,False
12a0017,True,False,True,False
12a0018,True,False,True,False
12a0019,False,True,False,False
12a0020,False,True,False,False
12a0021,True,False,True,False
12a0022,False,True,False,False
12a0023,True,False,True,False
12a0024,True,False,True,False
12a0025,True,False,True,False
12a0026,False,True,False,False
12a0027,False,True,False,False
12a0028,True,False,True,False
12a0029,False,True,False,False
12a0030,False,True,False,False
12a0031,True,False,True,False
12a0032,False,True,False,False
12a0033,False,True,False,False
12a0034,True,False,True,False
12a0035,True,False,True,False
12a0036,True,False,True,False
12a0037,True,False,True,False
12a0038,True,False,True,False
12a0039,False,True,False,False
12a0040,True,False,True,False
12a0041,False,True,False,False
12a0042,False,True,False,False
12a0043,True,False,True,False
12a0044,True,False,True,False
12a0045,False,True,False,False
12a0046,False,True,False,False
12a0047,True,False,True,False
12a0048,True,False,True,False
12a0049,False,True,False,False
12a0050,False,True,False,False
12a0051,False,True,False,False
12a0052,True,False,True,False
12a0053,True,False,True,False
12a0054,True,False,True,False
12a0055,True,False,True,False
12a0056,True,False,True,False
12a0057,False,True,False,False
12a0058,True,True,True,True
12a0059,True,False,True,False
12a0060,True,False,True,False
12a0061,True,False,True,False
12a0062,True,False,True,False
12a0063,True,False,True,False
12a0064,True,False,True,False
12a0065,False,True,False,False
12a0066,True,False,True,False
12a0067,False,True,False,False
12a0068,False,True,False,False
12a0069,False,True,False,False
12a0070,False,True,False,False
12a0071,True,False,True,False
12a0072,True,False,True,False
12a0073,True,False,True,False
12a0074,False,True,False,False
12a0075,True,False,True,False
12a0076,True,False,True,False
12a0077,True,False,True,False
12a0078,False,True,False,False
12a0079,True,False,True,False
12a0080,True,False,True,False
12a0081,True,False,True,False
12a0082,True,False,True,False
12a0083,True,False,True,False
12a0084,False,True,False,False
12a0085,False,True,False,False
12a0086,False,True,False,False
12a0087,False,True,False,False
12a0088,True,False,True,False
12a0089,False,True,False,False
12a0090,True,False,True,False
12a0091,True,False,True,False
12a0092,False,True,False,False
12a0093,True,False,True,False
12a0094,True,False,True,False
12a0095,True,False,True,False
12a0096,True,False,True,False
12a0097,True,False,True,False
12a0098,True,False,True,False
12a0099,True,False,True,False
12a0100,False,True,False,False
12a0101,True,False,True,False
12a0102,True,False,True,False
12a0103,True,False,True,False
12a0104,False,True,False,False
12a0105,True,False,True,False
12a0106,True,False,True,False
12a0107,True,False,True,False
12a0108,True,False,True,False
12a0109,False,True,False,False
12a0110,True,False,True,False
12a0111,True,False,True,False
12a0112,False,True,False,False
12a0113,True,False,True,False
12a0114,True,False,True,False
12a0115,True,False,True,False
12a0116,False,True,False,False
12a0117,True,False,True,False
12a0118,False,True,False,False
12a0119,True,False,True,False
12a0120,True,False,True,False
12a0121,False,True,False,False
12a0122,False,True,False,False
12a0123,False,True,False,False
12a0124,False,True,False,False
12a0125,True,True,True,True
12a0126,True,True,True,True
12a0127,True,False,True,False
12a0128,True,False,True,False
12a0129,True,False,True,False
12a0130,True,False,True,False
12a0131,False,True,False,False
12a0132,True,True,True,True
12a0133,False,True,False,False
12a0134,False,True,False,False
12a0135,False,True,False,False
12a0136,False,True,False,False
12a0137,False,True,False,False
12a0138,True,False,True,False
12a0139,True,False,True,False
12a0140,True,False,True,False
12a0141,True,False,True,False
12a0142,True,False,True,False
12a0143,True,False,True,False
12a0144,True,False,True,False
12a0145,True,False,True,False
12a0146,False,True,False,False
12a0147,False,True,False,False
12a0148,False,True,False,False
12a0149,True,False,True,False
12a0150,False,True,False,False
12a0151,True,False,True,False
12a0152,True,False,True,False
12a0153,False,True,False,False
12a0154,True,False,True,False
12a0155,True,False,True,False
12a0156,True,False,True,False
12a0157,True,False,True,False
12a0158,True,False,True,False
12a0159,True,False,True,False
12a0160,False,True,False,False
12a0161,False,True,False,False
12a0162,True,False,True,False
12a0163,True,False,True,False
12a0164,True,False,True,False
12a0165,True,False,True,False
12a0166,True,False,True,False
12a0167,False,True,False,False
12a0168,False,True,False,False
12a0169,False,True,False,False
12a0170,True,False,True,False
12a0171,True,False,True,False
12a0172,False,True,False,False
12a0173,True,False,True,False
12a0174,False,True,False,False
12a0175,False,True,False,False
12a0176,False,True,False,False
12a0177,False,True,False,False
12a0178,False,True,False,False
12a0179,True,False,True,False
12a0180,True,False,True,False
12a0181,True,False,True,False
12a0182,False,True,False,False
12a0183,True,False,True,False
12a0184,True,False,True,False
12a0185,True,False,True,False
12a0186,False,True,False,False
12a0187,False,True,False,False
12a0188,False,True,False,False
12a0189,False,True,False,False
12a0190,False,True,False,False
12a0191,False,True,False,False
12a0192,False,True,False,False
12a0193,False,True,False,False
12a0194,False,True,False,False
12a0195,False,True,False,False
12a0196,False,True,False,False
12a0197,False,True,False,False
12a0198,True,False,True,False
12a0199,True,False,True,False
12a0200,False,True,False,False
12a0201,False,True,False,False
12a0202,False,True,False,False
12a0203,False,True,False,False
12a0204,False,True,False,False
12a0205,True,False,True,False
12a0206,True,False,True,False
12a0207,True,False,True,False
12a0208,True,False,True,False
12a0209,True,False,True,False
12a0210,True,False,True,False
12a0211,True,False,True,False
12a0212,True,False,True,False
12a0213,True,False,True,False
12a0214,True,True,True,True
12a0215,False,True,False,False
12a0216,True,False,True,False
12a0217,False,True,False,False
12a0218,True,False,True,False
12a0219,False,True,False,False
12a0220,True,False,True,False
12a0221,True,False,True,False
12a0222,True,True,True,True
12a0223,False,True,False,False
12a0224,True,False,True,False
12a0225,False,True,False,False
12a0226,True,False,True,False
12a0227,True,False,True,False
12a0228,False,True,False,False
12a0229,True,False,True,False
12a0230,False,True,False,False
12a0231,True,False,True,False
12a0232,True,False,True,False
12a0233,True,False,True,False
12a0234,True,False,True,False
12a0235,True,False,True,False
12a0236,True,False,True,False
12a0237,True,False,True,False
12a0238,True,False,True,False
12a0239,True,False,True,False
12a0240,False,True,False,False
12a0241,False,True,False,False
12a0242,True,False,True,False
12a0243,True,False,True,False
12a0244,False,True,False,False
12a0245,True,False,True,False
12a0246,True,False,True,False
12a0247,True,False,True,False
12a0248,False,True,False,False
12a0249,False,True,False,False
12a0250,True,False,True,False
12a0251,True,False,True,False
12a0252,True,False,True,False
12a0253,True,False,True,False
12a0254,True,False,True,False
12a0255,True,False,True,False
12a0256,True,False,True,False
12a0257,True,False,True,False
12a0258,True,False,True,False
12a0259,True,False,True,False
12a0260,True,False,True,False
12a0261,False,True,False,False
12a0262,True,False,True,False
12a0263,True,False,True,False
12a0264,True,False,True,False
12a0265,True,False,True,False
12a0266,True,False,True,False
12a0267,True,False,True,False
12a0268,True,True,True,True
12a0269,True,False,True,False
12a0270,True,False,True,False
12a0271,False,True,False,False
12a0272,False,True,False,False
12a0273,True,True,True,True
12a0274,False,True,False,False
12a0275,False,True,False,False
12a0276,True,False,True,False
12a0277,True,False,True,False
12a0278,False,True,False,False
12a0279,False,True,False,False
12a0280,True,False,True,False
12a0281,True,False,True,False
12a0282,True,False,True,False
12a0283,False,True,False,False
12a0284,True,False,True,False
12a0285,False,True,False,False
12a0286,True,False,True,False
12a0287,False,True,False,False
12a0288,False,True,False,False
12a0289,True,False,True,False
12a0290,True,False,True,False
12a0291,True,False,True,False
12a0292,False,True,False,False
12a0293,True,False,True,False
12a0294,False,True,False,False
12a0295,True,False,True,False
12a0296,True,False,True,False
12a0297,False,True,False,False
12a0298,False,True,False,False
12a0299,True,False,True,False
12a0300,True,False,True,False
12a0301,False,True,False,False
12a0302,False,True,False,False
12a0303,False,True,False,False
12a0304,False,True,False,False
12a0305,True,False,True,False
12a0306,False,True,False,False
12a0307,True,False,True,False
12a0308,False,True,False,False
12a0309,True,False,True,False
12a0310,True,False,True,False
12a0311,True,False,True,False
12a0312,True,False,True,False
12a0313,True,False,True,False
12a0314,True,False,True,False
12a0315,True,False,True,False
12a0316,True,False,True,False
12a0317,False,True,False,False
12a0318,False,True,False,False
12a0319,True,False,True,False
12a0320,True,False,True,False
12a0321,True,False,True,False
12a0322,True,False,True,False
12a0323,True,False,True,False
12a0324,False,True,False,False
12a0325,False,True,False,False
12a0326,True,False,True,False
12a0327,False,True,False,False
12a0328,True,False,True,False
12a0329,True,False,True,False
